generation,Wmax,Wmin,Pmax,Pmin,Fmax,Fmin,Wmean,Pmean,Fmean,Max_CVM,Mean_CVM,Min_CVM,Fit_maxPareto,Fit_meanPareto,fitValue,NWmax,NWmin,NPmax,NPmin,NFmax,NFmin,NWmean,NPmean,NFmean
74,7.140123,7.140123,315.931174,315.931174,1.657870,1.625383,7.140123,315.931174,1.641627,5.000000,4.500000,4.000000,-4532327936770515.000000,-4532327936770514.000000,-4532327936770515.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,610006211876536.375000,2679687940115628.500000,118568959785932416.000000,616102422737922.125000
75,7.140123,7.140123,315.931174,315.931174,1.657870,1.627567,7.140123,315.931174,1.642719,5.000000,4.600000,4.000000,-4532327936770516.000000,-4532327936770515.000000,-4532327936770516.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,610825858128759.500000,2679687940115628.500000,118568959785932416.000000,616512245864033.625000
76,7.854135,6.426111,315.931174,315.931174,1.634856,1.630609,7.140123,315.931174,1.632732,3.000000,2.800000,2.000000,-1852639996654998.750000,-1852639996654998.750000,-1852639996654998.750000,1.833333,1.500000,73.745502,73.745502,0.381612,0.380621,1.666667,73.745502,0.381117
77,7.140123,7.140123,315.931174,315.931174,1.644693,1.630508,7.140123,315.931174,1.637601,4.000000,3.300000,3.000000,-4532327936770536.000000,-4532327936770534.000000,-4532327936770536.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,617253390889002.875000,611929512270823.500000,2679687940115628.500000,118568959785932416.000000,614591451579913.125000
78,7.140123,7.140123,315.931174,315.931174,1.657870,1.630508,7.140123,315.931174,1.644189,4.000000,3.600000,3.000000,-4532327936770518.000000,-4532327936770517.000000,-4532327936770518.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,611929512270823.875000,2679687940115628.500000,118568959785932416.000000,617064072935065.875000
79,7.140123,7.140123,315.931174,315.931174,1.657870,1.630508,7.140123,315.931174,1.644189,4.000000,3.800000,3.000000,-4532327936770518.000000,-4532327936770517.000000,-4532327936770518.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,611929512270823.875000,2679687940115628.500000,118568959785932416.000000,617064072935065.875000
80,7.140123,7.140123,315.931174,315.931174,1.657870,1.630609,7.140123,315.931174,1.644240,5.000000,4.300000,4.000000,-4532327936770518.000000,-4532327936770517.000000,-4532327936770518.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,611967661184161.375000,2679687940115628.500000,118568959785932416.000000,617083147391734.625000
81,7.140123,7.140123,315.931174,315.931174,1.657870,1.629629,7.140123,315.931174,1.643750,5.000000,4.600000,4.000000,-4532327936770517.000000,-4532327936770516.000000,-4532327936770517.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,611599776470139.625000,2679687940115628.500000,118568959785932416.000000,616899205034723.750000
82,7.140123,7.140123,315.931174,315.931174,1.645950,1.629629,7.140123,315.931174,1.637790,5.000000,4.500000,4.000000,-4532327936770531.000000,-4532327936770530.000000,-4532327936770531.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,617725003671701.500000,611599776470139.625000,2679687940115628.500000,118568959785932416.000000,614662390070920.625000
83,7.140123,7.140123,315.931174,315.931174,1.657870,1.629629,7.140123,315.931174,1.643750,5.000000,4.500000,4.000000,-4532327936770517.000000,-4532327936770516.000000,-4532327936770517.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,611599776470140.000000,2679687940115628.500000,118568959785932416.000000,616899205034723.875000
